iter	Passed	Remaining
173	460	2186
174	461	2175
175	463	2169
176	464	2161
177	465	2151
178	466	2141
179	468	2132
180	469	2122
181	470	2113
182	471	2103
183	472	2094
184	473	2084
185	474	2074
186	474	2065
187	475	2055
188	476	2045
189	479	2044
190	480	2036
191	481	2028
192	483	2019
193	484	2012
194	485	2004
195	486	1996
196	487	1988
197	488	1979
198	489	1971
199	490	1962
200	491	1954
201	493	1951
202	495	1944
203	496	1936
204	497	1930
205	499	1923
206	500	1916
207	501	1909
208	503	1904
209	504	1898
210	505	1891
211	506	1883
212	509	1882
213	510	1875
214	511	1867
215	512	1860
216	513	1853
217	514	1845
218	515	1838
219	516	1830
220	517	1823
221	518	1816
222	519	1808
223	520	1801
224	521	1794
225	522	1787
226	524	1786
227	525	1779
228	526	1772
229	527	1766
230	528	1759
231	529	1752
232	530	1746
233	531	1739
234	532	1733
235	533	1726
236	534	1720
237	535	1713
238	536	1707
239	537	1700
240	539	1698
241	540	1692
242	541	1686
243	542	1679
244	543	1673
245	544	1667
246	545	1661
247	545	1655
248	546	1649
249	547	1643
250	548	1637
251	549	1631
252	550	1625
253	551	1619
254	553	1618
255	554	1612
256	555	1607
257	556	1601
258	557	1596
259	558	1590
260	559	1584
261	560	1579
262	561	1573
263	562	1568
264	563	1563
265	564	1557
266	565	1552
267	566	1546
268	569	1548
269	571	1544
270	572	1540
271	574	1537
272	575	1533
273	576	1527
274	577	1522
275	578	1517
276	579	1512
277	580	1507
278	581	1502
279	582	1497
280	584	1496
281	585	1491
282	586	1486
283	587	1481
284	588	1476
285	589	1471
286	590	1466
287	591	1462
288	592	1457
289	593	1452
290	594	1448
291	595	1443
292	596	1439
293	597	1434
294	599	1432
295	600	1428
296	601	1423
297	602	1419
298	603	1414
299	604	1410
300	605	1406
301	606	1401
302	607	1397
303	608	1392
304	609	1388
305	610	1385
306	612	1381
307	614	1380
308	615	1377
309	616	1373
310	617	1369
311	618	1364
312	620	1361
313	621	1356
314	622	1352
315	622	1348
316	624	1344
317	625	1340
318	625	1336
319	626	1332
320	628	1328
321	629	1325
322	630	1322
323	632	1319
324	633	1316
325	634	1312
326	636	1309
327	637	1305
328	638	1302
329	639	1298
330	640	1295
331	643	1294
332	644	1290
333	645	1287
334	646	1283
335	647	1280
336	648	1276
337	649	1272
338	651	1269
339	652	1266
340	653	1263
341	654	1260
342	655	1256
343	658	1255
344	659	1251
345	660	1248
346	661	1244
347	662	1241
348	666	1242
349	667	1240
350	668	1236
351	670	1233
352	671	1230
353	672	1228
354	673	1224
355	674	1221
356	675	1217
357	676	1213
358	677	1210
359	678	1206
360	679	1202
361	681	1201
362	682	1198
363	683	1194
364	684	1191
365	685	1187
366	687	1185
367	689	1183
368	690	1180
369	691	1177
370	692	1174
371	693	1171
372	694	1167
373	695	1164
374	697	1162
375	698	1158
376	699	1155
377	700	1152
378	701	1149
379	702	1145
380	703	1142
381	704	1139
382	705	1136
383	706	1133
384	707	1130
385	708	1126
386	709	1124
387	712	1123
388	713	1120
389	714	1116
390	715	1113
391	716	1110
392	717	1107
393	718	1104
394	719	1101
395	720	1098
396	720	1095
397	721	1091
398	723	1089
399	724	1086
400	726	1085
401	727	1082
402	728	1079
403	729	1076
404	730	1073
405	731	1070
406	733	1067
407	733	1064
408	734	1061
409	736	1059
410	736	1056
411	738	1053
412	739	1050
413	741	1049
414	742	1047
415	744	1044
416	745	1042
417	746	1039
418	747	1036
419	748	1033
420	749	1030
421	750	1027
422	752	1026
423	754	1024
424	757	1024
425	759	1022
426	761	1021
427	763	1020
428	764	1017
429	765	1015
430	766	1012
431	767	1009
432	768	1006
433	770	1004
434	774	1005
435	775	1002
436	776	1000
437	777	997
438	779	995
439	780	992
440	781	990
441	782	987
442	782	984
443	783	981
444	785	979
445	788	978
446	789	976
447	790	973
448	791	971
449	792	968
450	793	966
451	794	963
452	795	960
453	796	958
454	797	955
455	798	953
456	800	951
457	803	950
